Country Name;Country Code;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
China;CHN;18577514881891,30;19647292057520,20;20974552138879,60;22862470132646,10;24777565958500,90;25777238693451,80;29438240129870,10;32525464028395,10;35520435397067,70;38190084585497,80
United States;USA;18295019000000,00;18804913000000,00;19612102000000,00;20656516000000,00;21539981999999,90;21354104999999,90;23681171000000,00;26006893000000,00;27720709000000,00;29184890000000,10
India;IND;7204580698460,80;7795524017465,34;8354710136357,47;9230789424534,98;9932850520576,54;9771021183358,88;11384367630967,90;13124053155136,10;14845911292307,90;16190819718797,50
Russian Federation;RUS;3526235948513,73;3538975998887,58;3807101264909,25;4231842328030,95;4579553861372,40;4651428694918,23;5688268314339,54;6006312352159,35;6476475754986,43;6921249292202,15
Japan;JPN;5200905340128,50;5158900389806,62;5262254961496,84;5344060957173,06;5404462313923,94;5356710635860,81;5574650884739,54;5930403853110,90;6212962918547,56;6407671854496,88
Germany;DEU;3966574668375,51;4246712764148,14;4472591345398,59;4665360433368,50;4924980320308,75;4880368289108,08;5202314428956,09;5663892390556,96;5763465942185,64;6037851748487,12
Brazil;BRA;2989121457677,60;2907889886422,24;2980287463645,10;3187189640213,37;3333775621511,96;3359777233364,89;3787769507585,78;4180229770180,59;4471035569136,80;4734651403044,36
Indonesia;IDN;2625201734355,44;2715764060542,74;2857305082359,12;3069918631697,01;3266185831776,73;3223404542894,60;3530623140454,75;3983074391531,86;4334743944551,08;4662887595103,26
France;FRA;2722896108490,27;2861145268728,43;2975787193760,88;3114875305157,86;3445276604424,65;3345024904336,18;3562923665911,39;3823961003427,32;3982377923514,52;4201559866305,39
United Kingdom;GBR;2767977872942,74;2892297884267,13;3041891554350,64;3129649825363,45;3335878386954,67;3219066303872,09;3416480549650,65;3957840318954,80;3966748015298,24;4196506479513,42
Turkiye;TUR;2022939852651,27;2116397789617,20;2264269908091,15;2303774665903,06;2350308130312,31;2391489351774,66;2637031078345,11;3322805935564,67;3611520825480,45;3757012846422,01
Italy;ITA;2252253163528,53;2433618302347,89;2528635516998,96;2609651815348,66;2787073032822,59;2641203589480,81;2946333608376,65;3319366253339,18;3415333338674,66;3589121540312,88
Mexico;MEX;2309495216430,19;2457812552694,79;2528308608734,21;2606266095020,21;2636530051952,24;2454084724796,82;2652858835981,85;3006940450744,82;3224627506520,01;3361570175385,56
Spain;ESP;1635832322642,58;1747416921343,70;1854710948435,34;1918771506082,64;2075228716950,46;1862544224980,41;2099468112223,22;2411673616292,85;2573555479216,76;2778406789838,98
Canada;CAN;1594900336857,89;1678092366067,55;1765762548007,76;1852985933143,48;1899695367283,60;1847837502049,20;2179485548675,88;2475481278941,65;2583898469288,89;2702879648009,75
Saudi Arabia;SAU;1608022150954,67;1545761853587,76;1645531261860,11;1792988810566,04;1790607498345,21;1499327559869,91;1929888259783,05;2315588932554,49;2411929204431,52;2514913068784,39
Egypt, Arab Rep.;EGY;1085943366513,33;1084107404691,64;1153591166057,27;1302980395024,57;1437311654157,39;1665073256894,19;1728601012503,64;1973837735890,74;2121756770377,81;2225198389821,18
Australia;AUS;1101816795436,34;1143265965868,50;1189571541596,14;1252748396187,98;1334462906706,38;1384652202439,55;1494437295625,78;1713614547048,26;1879379921223,82;1936797839321,65
Poland;POL;1025456140420,47;1076820000427,04;1145711205425,05;1228297337147,81;1362291050579,99;1391432848266,15;1518447457166,84;1696649925504,66;1715410382146,69;1841555375507,14
Thailand;THA;1113921789913,93;1181322173179,74;1250522147488,09;1347310632514,94;1427827121310,44;1372918881143,84;1451959884645,39;1595614286791,42;1686384776706,79;1770790698282,56
Iran, Islamic Rep.;IRN;1131039620719,18;1221422583406,80;1281375169176,87;1277953990214,69;1162001171464,40;1237805777178,19;1322577157396,53;1470380001563,54;1600138337693,92;1688651728561,70
Bangladesh;BGD;671359529456,48;736379109928,49;791891204668,82;897767805988,76;997249695284,32;1104316059486,83;1247561124482,20;1431395376250,57;1568541874255,92;1674316179059,49
Viet Nam;VNM;712101202507,93;787204623262,45;872747364096,31;963332818078,27;1071756124195,50;1138632490789,12;1192059299524,62;1386074827447,82;1508682497102,43;1654734391083,39
Pakistan;PAK;973520332591,72;1019403996557,85;1069378806760,21;1129963710339,00;1162667379542,97;1186293820824,83;1285342890384,16;1442774797327,02;1494096011172,99;1579724190316,89
Netherlands;NLD;863433778608,75;905370307047,10;959996164418,59;1013551388032,40;1081370572466,31;1091779125681,31;1202303330254,13;1365670124059,38;1399872810238,12;1515446904606,01
Nigeria;NGA;989482934627,14;981583396343,35;1000651050046,71;1041739008970,11;1123347541616,20;1145672541683,20;1200097354375,41;1327463569776,87;1414565464577,30;1498412309012,06
Argentina;ARG;865155580188,78;882649216798,35;1035699067575,93;1090043170151,08;1057633159930,82;1011999397129,76;1191725417699,43;1343969240640,99;1369900046451,38;1378906089397,47
Malaysia;MYS;766027917953,28;803828295814,36;854693620881,57;914713180247,42;967567806880,74;931106663877,47;1022398815013,98;1192353239707,87;1279178242678,17;1377111092000,87
Philippines;PHL;726055887752,64;787994332750,17;840500711155,12;914882799585,10;988832200540,15;923366701020,76;1001824458376,10;1154612182082,28;1262175096006,69;1366276178143,49
Colombia;COL;626205847138,12;665398390495,01;693117074956,62;747103674534,63;807590595866,73;785737564322,41;889808627041,40;1070755175690,69;1095839760556,08;1136771232492,38
Romania;ROU;428618003572,13;470976157183,80;527779211230,48;576157161634,81;651626633701,77;662450441783,25;721482377389,38;804125351673,55;872344937917,81;928908990262,03
Singapore;SGP;482409671479,02;504104924057,74;537340573560,54;586215721477,78;600787105909,49;577213563024,15;723237492898,22;806629380658,06;850875741862,08;909690217412,88
Belgium;BEL;519562781951,13;548605717461,09;571670659099,52;599540192091,15;651568428663,06;647547562363,42;702925341289,82;796097823446,67;814029729290,60;856629284653,93
United Arab Emirates;ARE;609998221091,02;604925118660,42;627578031229,29;701667873659,97;726238678138,08;614384479773,47;645375981350,20;743309077886,72;797922323198,50;847957424147,98
Switzerland;CHE;540696214191,36;563950610001,63;576360598319,81;601867859451,37;632274562999,59;630567393919,54;705080509164,28;801577494672,78;804425726191,75;847567772890,85
Kazakhstan;KAZ;406611059018,01;422786764645,62;447143865260,69;475138151280,59;551108130794,88;565757228613,76;650469813945,99;719143972705,05;783017688189,35;840445512071,74
